var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,Y
1.0,0.6688359316214908,0.22367075171399375,0.049866345199702726,0.008338100862050507,0.0011153642916047013,0.00012433261917879575,1.1879731882769984e-05,9.931989426532486e-07,7.38096822327739e-08,4.9366567578843535e-09,3.0016485652319183e-10,1.6730086787726677e-11,8.60744860213659e-13,4.112122074781517e-14,1.8335566658851958e-15,7.664678630050746e-17,3.0155367482996023e-18,1.120499627993225e-19,3.944370592475698e-21,4.017792962747385,2.1645009711916274,-0.5214889712311076,-1.981021368149563,1.086093407593877,0.2962907756393289,3.0683660172106406,-0.6712330655927478,-2.5506755080787906,-2.5028356737456887,-4.960745302468287,5.515064446762338,-4.158605050738845,0.618973771305765,-4.1168071453833095,-0.43562477908391756,-4.429050553325455,-1.630177476877558,-3.97651797889744,-1.2813254708158477,5.430095332947557
1.0,-0.32795347604957925,0.053776741226500974,-0.005878756405283236,0.0004819896494903416,-3.161403619405517e-05,1.7279888436329338e-06,-8.095713540633051e-08,3.31877174594032e-09,-1.209336366995843e-10,3.9660606526945644e-12,-1.1824394338860413e-13,3.231542688008533e-15,-8.152274288730763e-17,1.909690493356332e-18,-4.1752642365003003e-20,8.558077623661038e-22,-1.650971355871624e-23,3.0080099723132553e-25,-5.1920385600627935e-27,-2.60152818250744,3.395143490747106,-3.9172851237436266,2.8951501778278406,-1.6878133410324547,0.0864790304219202,-2.400884176779317,2.8423920007977346,0.88915013931779,-2.6635254400490487,5.7281639304818,2.776593725707514,-0.024664643957559615,-1.3470304700961346,-0.6995683579929275,-1.5518036940881585,-0.18164424678598734,-1.9187192411656344,2.5012949674844447,0.07441363588070907,4.2622736698334895
1.0,0.850103317158195,0.3613378249216833,0.10239149452688336,0.021760837286522176,0.0036997919922824476,0.0005242009075724394,6.366070434066672e-05,6.764771991578485e-06,6.389727899844132e-07,5.4319288833957635e-08,4.197909783947408e-09,2.9738808603871106e-10,1.944696910960269e-11,1.1808523534818713e-12,6.692310018460001e-14,3.555721841339917e-15,1.7780770189499463e-16,8.397495399845024e-18,3.757230892225756e-19,-3.9251934156587103,-4.154144531102885,2.648959716535647,0.017614973290720315,3.6250346493949337,-3.210216267805598,2.6142429849523996,0.6119220103614204,-2.5394536529021607,2.663654441989026,3.6453064761781366,-0.03636255525704709,0.4103367844265683,0.8152174321018238,0.10121900644132503,-0.10188255661204675,0.8158986466967849,-2.7362963677636793,6.157501977484041,1.2065469896100032,5.325627498153235
1.0,-0.793639080532258,0.3149314950740439,-0.08331398072707118,0.016530307764928757,-0.0026238196510946607,0.0003470609692295394,-3.934873550113799e-05,3.903586782903771e-06,-3.442265583512915e-07,2.7319164926470265e-08,-1.971050630286634e-09,1.303585674919343e-10,-7.958281049523157e-12,4.5114306105434647e-13,-2.386965094424532e-14,1.18399298925105e-15,-5.527430043210841e-17,2.4371024984445726e-18,-1.017989361067589e-19,2.095167912164456,0.7771399297755497,-1.7570911244422243,-0.9900372305318601,-1.3293950139219302,-6.524211453034754,5.152822057530493,-1.3207432551367668,-1.3086573584292307,-0.06884191426603811,-2.9466041692534426,1.0470136367224643,3.3436255465204825,-2.7479503755967287,3.8256517880874767,2.0734152750810724,-2.235211444549428,5.1579586167659786,-4.891233575675339,-1.0296526881518835,2.3516041106450305
1.0,0.34621462002258724,0.059932281558692235,0.006916477362309781,0.0005986463954717269,4.145202686722708e-05,2.391882955167183e-06,1.1830069263738707e-07,5.119678668732731e-09,1.969452894370053e-10,6.818533854767125e-12,2.146069188763043e-13,6.191671072748158e-15,1.6489592675048838e-16,4.077812901656622e-18,9.41198962846834e-20,2.036605258047937e-21,4.147661856182763e-23,7.977673186224968e-25,1.4536774162280314e-26,-1.20332483570246,-4.820672742943249,-0.7305706784577103,2.399019552442837,-0.9129435152874897,-0.19661527196423506,1.0796030189761625,-0.3340102538462697,-2.0849549212698575,-1.5445959212458624,5.39888026244157,1.22674641653218,-0.7725376079889476,-5.436350503871003,3.8626416586725627,-1.2466422245374802,0.3783482089304171,4.264909334279907,3.2240146344133294,-3.794622966459809,5.276978529758675
1.0,0.7851802102459426,0.30825398128093134,0.08067830861043684,0.01583675282925746,0.0024869409832178804,0.0003254494740120444,3.650521234702978e-05,3.5828962882142033e-06,3.125799178743817e-07,2.4543156563526653e-08,1.7518909846044494e-09,1.1462917763497444e-10,6.92342783044221e-12,3.8829560853780175e-13,2.0325468503285832e-14,9.974472270473283e-16,4.606916608483846e-17,2.009588750686039e-18,8.30468061985024e-20,-1.5389066484070966,1.9860156211134,-0.1672876886490197,-1.3481836032764525,-5.651416614672199,-3.3573311664505057,0.9867570921760443,-4.4366614915082625,0.8832633352278603,-3.79450816205092,3.4658317169875,-3.2449253822108175,0.8986900335172627,4.35604136622697,-2.953888570386599,-1.8423628447780578,1.6851524551975197,2.4299953254491147,1.0233193468434467,-4.022718017673872,5.220591104903405
1.0,1.7805608056564466,1.585198391319967,0.9408473749246612,0.41880898997390187,0.14914297452081868,0.0442596891451313,0.011258152537479839,0.0025057281440422838,0.0004957334803235513,8.826836051157768e-05,1.4287925736951674e-05,2.120043380112179e-06,2.9037431914762754e-07,3.693065226024585e-08,4.383818129461428e-09,4.878534212778235e-10,5.1097216519570314e-11,5.054538945160445e-12,4.736796808640403e-13,-2.89346578424077,0.4209644774127492,-2.128578736037692,-1.2788665519032363,-3.3746705708166678,-4.114533478651012,-4.410551983082196,-0.7140961466018739,2.7906878566053206,1.7076457011562072,6.298276155079694,-1.8270520245050905,-1.6557820320562335,-3.5413553757768907,4.611190385965324,-3.9338462834605483,-2.450202203802336,-5.788865187699143,0.4843247401149373,1.7926131603005389,7.0362128759324225
1.0,0.9030102512589748,0.40771375693939843,0.12272323403186225,0.027705084599606477,0.0050035950810883596,0.0007530496085619617,9.714450231971567e-05,1.0965310181019313e-05,1.1001986112994272e-06,9.93490624424271e-08,8.155747439861788e-09,6.137269620728612e-10,4.2630902940447827e-11,2.7497244554036255e-12,1.6553529142446504e-13,9.342504068839612e-15,4.962574674465207e-16,2.4895865576001403e-17,1.1832222015312993e-18,-1.952535296260603,2.974749828199334,-1.357246375869199,3.414737516136716,-2.0042479981568944,-2.4411790101426916,1.189469459166303,1.3877197738639493,2.420738291710079,3.94238923965162,-1.4951089089467204,-0.6103795535196987,1.7642567900333241,-0.24993523768036846,-5.2529269592687395,-1.8119087794246713,2.226008857716329,3.115234424828282,0.1053239692537776,3.5196979322631656,5.2495875155591865
1.0,0.9170128412560735,0.42045627551426834,0.12852126794442856,0.029463913269888387,0.005403757364428576,0.00082588581570218,0.00010819255691573514,1.2401745502507215e-05,1.2636177644209859e-06,1.158753716413336e-07,9.65992761640207e-09,7.381898058204061e-10,5.2071502401664593e-11,3.4107311689873504e-12,2.0851228533558264e-13,1.1950527700773732e-14,6.446345506703489e-16,3.284100893789161e-17,1.5850329955711626e-18,2.5032007734158563,-3.4481450779988174,-6.885176711390829,1.0361624577623003,-2.388648061352599,0.5419307380172751,1.6827957760752574,10.426971446542016,0.5763000471562216,-3.228237667998122,-0.8344829959486566,0.6020171435220565,0.6987080092650579,1.5890271182780167,-2.196204827012476,-1.103690666858702,3.2901734246973184,-3.5273948395996655,-3.8785799926188105,-1.2712318774674862,5.206354552571483
1.0,0.37831230802869464,0.07156010120299897,0.009024022349624503,0.0008534746806972424,6.45759952597254e-05,4.071648968326127e-06,2.2005070267001576e-07,1.0405986151303713e-08,4.37412515357149e-10,1.6547853824539986e-11,5.691142521166531e-13,1.794191052085629e-14,5.221265830453432e-16,1.4109065193929977e-17,3.5584220117619814e-19,8.413717776311163e-21,1.8723605829754892e-22,3.935205853374498e-24,7.835456889253344e-26,2.5458591664173573,0.3167255544370997,1.7016236199022967,1.9236800652385369,-0.9545855914534799,3.5692396480458437,1.9970458081249765,5.484331964768491,-2.844843657657876,0.6898994999331006,-2.0606200999785527,0.5642656727510409,5.197610797025352,6.046033629089715,-2.906999534829172,-0.919127299026997,-4.07698603254076,-0.5985669875338065,3.007170604452962,-0.6606015244840983,5.22763316394179
